groupsize,protocol,operation,clientrole,setuptime,operationtime
128,FULL,update,RECIPIENT,29.355697,29.603626
128,FULL,update,RECIPIENT,29.389892,30.499076
128,FULL,update,RECIPIENT,29.934057,28.875466
128,FULL,update,RECIPIENT,30.007919,29.838132
128,FULL,update,RECIPIENT,30.0642,28.504087
128,FULL,update,RECIPIENT,28.323886,28.695581
128,FULL,update,RECIPIENT,28.55022,29.624408
128,FULL,update,RECIPIENT,29.932009,28.483954
128,FULL,update,RECIPIENT,32.643754,28.30319
128,FULL,update,RECIPIENT,30.089106,29.346207
128,FULL,update,RECIPIENT,29.3999,28.31228
128,FULL,update,RECIPIENT,29.211181,28.741319
128,FULL,update,RECIPIENT,29.100098,28.936533
128,FULL,update,RECIPIENT,28.88265,29.772892
128,FULL,update,RECIPIENT,28.43598,29.161444
128,FULL,update,RECIPIENT,29.145376,29.256776
128,FULL,update,RECIPIENT,29.203067,29.043058
128,FULL,update,RECIPIENT,31.522566,29.049316
128,FULL,update,RECIPIENT,29.205409,29.724104
128,FULL,update,RECIPIENT,30.893537,28.224587
128,FULL,update,RECIPIENT,29.119855,27.727113
128,FULL,update,RECIPIENT,30.642616,29.126719
128,FULL,update,RECIPIENT,28.743421,29.015539
128,FULL,update,RECIPIENT,29.18996,28.517628
128,FULL,update,RECIPIENT,31.919732,29.243747
128,FULL,update,RECIPIENT,29.853076,28.41664
128,FULL,update,RECIPIENT,29.187501,28.765499
128,FULL,update,RECIPIENT,30.274823,28.358459
128,FULL,update,RECIPIENT,28.724677,29.185134
128,FULL,update,RECIPIENT,30.345004,28.485677
128,FULL,update,RECIPIENT,31.396709,28.728743
128,FULL,update,RECIPIENT,29.262945,28.13492
128,FULL,update,RECIPIENT,28.968204,29.818602
128,FULL,update,RECIPIENT,29.780766,29.81701
128,FULL,update,RECIPIENT,29.090097,28.003815
128,FULL,update,RECIPIENT,29.834896,31.569032
128,FULL,update,RECIPIENT,30.174127,27.994915
128,FULL,update,RECIPIENT,30.376574,28.640367
128,FULL,update,RECIPIENT,28.678359,28.439031
128,FULL,update,RECIPIENT,30.111575,28.076292
128,FULL,update,RECIPIENT,29.244639,28.295579
128,FULL,update,RECIPIENT,29.720718,28.095254
128,FULL,update,RECIPIENT,29.557518,28.118628
128,FULL,update,RECIPIENT,29.727827,28.95945
128,FULL,update,RECIPIENT,29.317373,29.842924
128,FULL,update,RECIPIENT,29.397753,29.459759
128,FULL,update,RECIPIENT,28.635705,29.632022
128,FULL,update,RECIPIENT,30.144513,28.360315
128,FULL,update,RECIPIENT,28.694497,29.433498
128,FULL,update,RECIPIENT,28.492475,28.143384
128,FULL,update,RECIPIENT,28.326127,30.04594
128,FULL,update,RECIPIENT,31.219707,32.392468
128,FULL,update,RECIPIENT,29.813081,28.607518
128,FULL,update,RECIPIENT,30.361997,28.333534
